Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
15:03:23,2.75E-05,0.0002998,-0.00026425,0.02643151,0.01695612,-0.02114297,34.15047073,0.00031294,0.00016775,-0.00016429,-0.04471837,-0.00431056,0.01779402,34.95698547
15:03:24,-2.13E-05,0.00014332,-0.00017206,0.02859786,0.01698412,-0.0213129,34.16378021,0.00037389,0.00014847,-0.0001362,-0.04495273,-0.00354974,0.01806039,34.97215652
15:03:25,-0.00010021,3.73E-05,-7.81E-05,0.02751199,0.01623568,-0.02059386,34.17484664,0.00031731,0.00016017,-0.00014262,-0.04496044,-0.00451706,0.01795328,34.97275543
15:03:26,-8.47E-05,7.46E-06,-5.65E-05,0.02872195,0.01744183,-0.0216938,34.19760894,0.00027564,0.0001916,-0.00016396,-0.04599432,-0.0042806,0.0181543,34.98517608
15:03:27,-7.59E-05,5.56E-05,-0.00010978,0.02662045,0.01699139,-0.02080055,34.19137954,0.00027738,0.00017681,-0.00017141,-0.04544457,-0.00411591,0.01824261,34.9922409
15:03:28,-2.22E-05,3.99E-05,-7.49E-05,0.02946182,0.01719612,-0.02328065,34.20050811,0.00030699,0.0001637,-0.00014897,-0.04562056,-0.00451246,0.01870369,35.00506591
15:03:29,-3.18E-05,6.68E-05,-9.16E-05,0.028321,0.01691115,-0.02088013,34.2043457,0.00032143,0.00019357,-0.00013928,-0.04477969,-0.00453977,0.01809535,35.00117874
15:03:30,-8.47E-05,5.45E-05,-0.00010498,0.02899396,0.01668444,-0.02188097,34.20791244,0.00032793,0.00015466,-0.00013919,-0.04319509,-0.00455259,0.01738055,35.02462768
15:03:31,-7.33E-05,7.64E-05,-9.16E-05,0.02884636,0.01770012,-0.02207581,34.22283935,0.00033007,0.00016947,-0.00013176,-0.04507261,-0.00481832,0.01836652,35.0368576
15:03:32,-9.61E-05,3.35E-05,-0.00010887,0.02883512,0.01695357,-0.02109314,34.22060775,0.00028441,0.0001787,-0.00016996,-0.04572697,-0.0044768,0.018479,35.04830932
15:03:33,-8.94E-05,3.05E-05,-8.53E-05,0.02982055,0.01777089,-0.02230021,34.24932479,0.00032644,0.00017606,-0.00015232,-0.04528517,-0.00426915,0.01850825,35.05389785
15:03:34,-6.08E-05,7.30E-05,-8.98E-05,0.02913566,0.01713909,-0.02212315,34.25236129,0.0003206,0.00016865,-0.00012644,-0.04558628,-0.00424571,0.01860292,35.06747817
15:03:35,-0.00010145,1.89E-05,-5.85E-05,0.02796662,0.01719217,-0.02117833,34.26197814,0.0002866,0.00017565,-0.00016472,-0.04532059,-0.0040035,0.01901017,35.06410217
15:03:36,-0.00010201,4.50E-05,-5.89E-05,0.02830893,0.01723772,-0.02179675,34.2729721,0.00031499,0.00014679,-0.00016473,-0.0462768,-0.00447695,0.01905256,35.06182479
15:03:37,-9.25E-05,7.60E-05,-0.00011626,0.0278257,0.0169349,-0.02122221,34.27148056,0.00028928,0.00017992,-0.00017034,-0.04548134,-0.00514121,0.0181425,35.07682037
15:03:38,-8.82E-05,4.88E-05,-0.00012068,0.02885285,0.017539,-0.02143601,34.27804183,0.00031631,0.00015702,-0.00014861,-0.04560873,-0.00469559,0.01784051,35.08927536
15:03:39,-0.00012769,1.86E-05,-9.90E-05,0.02888703,0.01752451,-0.02216553,34.3056755,0.00028501,0.00016636,-0.00015447,-0.04469125,-0.00545968,0.01871436,35.10175323
15:03:40,-0.00011948,1.82E-05,-1.80E-05,0.02835031,0.01719602,-0.02150105,34.307518,0.00028968,0.00016213,-0.00017004,-0.04613491,-0.00437032,0.01881611,35.11478042
15:03:41,-3.92E-05,5.51E-05,-0.00012165,0.02793773,0.01663384,-0.02103352,34.31258392,0.00030005,0.00014054,-0.00017065,-0.04692002,-0.0045988,0.01836062,35.12095642
